region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Santos,51,31,85,41,58,46,52,New confirmed cases by infection date,Decreasing
Toledo,51,22,88,36,59,44,52,New confirmed cases by infection date,Likely increasing
Cariacica,50,0,134,22,62,26,41,New confirmed cases by infection date,Unsure
Caruaru,49,26,75,37,55,44,51,New confirmed cases by infection date,Likely decreasing
Cascavel,49,15,120,33,55,39,47,New confirmed cases by infection date,Likely increasing
Guareí,49,0,762,0,49,0,11,New confirmed cases by infection date,Unsure
Nova Iguaçu,49,8,113,26,58,34,46,New confirmed cases by infection date,Unsure
São Gonçalo,49,0,194,5,52,14,30,New confirmed cases by infection date,Unsure
Envira,48,0,1739,0,48,1,11,New confirmed cases by infection date,Likely increasing
Pouso Alegre,48,9,112,25,56,33,44,New confirmed cases by infection date,Likely increasing
Sorocaba,48,25,74,38,55,42,48,New confirmed cases by infection date,Decreasing
Guaraí,47,0,151,15,54,32,46,New confirmed cases by infection date,Likely increasing
Sete Lagoas,47,10,91,30,56,40,49,New confirmed cases by infection date,Likely increasing
Irecê,46,0,901,0,46,0,11,New confirmed cases by infection date,Unsure
São José dos Pinhais,46,12,84,31,54,38,46,New confirmed cases by infection date,Unsure
Tucumã,45,0,385,1,45,10,25,New confirmed cases by infection date,Unsure
Itabirito,44,6,100,21,50,25,35,New confirmed cases by infection date,Likely increasing
Santa Helena de Goiás,43,12,83,27,51,28,37,New confirmed cases by infection date,Likely increasing
Santo Antônio do Jacinto,43,0,123,13,50,17,30,New confirmed cases by infection date,Increasing
Aracruz,42,5,108,19,48,31,40,New confirmed cases by infection date,Likely increasing
Barueri,42,0,85,23,57,30,42,New confirmed cases by infection date,Likely decreasing
Cachoeirinha,42,4,100,21,49,26,36,New confirmed cases by infection date,Likely increasing
Castanhal,42,0,97,22,53,24,35,New confirmed cases by infection date,Increasing
Governador Valadares,42,0,160,12,51,15,29,New confirmed cases by infection date,Unsure
Jaboatão dos Guararapes,42,21,67,32,48,41,46,New confirmed cases by infection date,Unsure
Lajeado,42,17,77,31,49,35,42,New confirmed cases by infection date,Likely increasing
Tubarão,42,0,138,0,42,0,16,New confirmed cases by infection date,Unsure
Cambé,41,6,104,18,46,31,40,New confirmed cases by infection date,Likely increasing
Contagem,41,0,157,0,42,11,27,New confirmed cases by infection date,Likely decreasing
Cruz Alta,41,16,72,30,50,36,43,New confirmed cases by infection date,Increasing
Ferraz de Vasconcelos,41,12,74,29,50,33,40,New confirmed cases by infection date,Unsure
Formosa,41,9,89,21,47,26,35,New confirmed cases by infection date,Likely increasing
Sacramento,41,7,88,21,48,27,36,New confirmed cases by infection date,Increasing
Araguari,39,10,74,25,46,33,40,New confirmed cases by infection date,Likely increasing
Condado,39,8,77,21,44,28,36,New confirmed cases by infection date,Increasing
Jaú,39,0,117,12,45,17,29,New confirmed cases by infection date,Unsure
Juiz de Fora,39,6,76,26,47,31,39,New confirmed cases by infection date,Unsure
Mogi das Cruzes,39,22,56,31,44,33,38,New confirmed cases by infection date,Decreasing
Taquari,39,0,101,12,46,23,35,New confirmed cases by infection date,Likely increasing
Americana,38,0,240,0,38,0,10,New confirmed cases by infection date,Unsure
Sapiranga,38,3,97,16,44,19,29,New confirmed cases by infection date,Likely increasing
Mariana,37,0,168,3,39,9,21,New confirmed cases by infection date,Likely increasing
Palhoça,37,0,69,21,47,31,41,New confirmed cases by infection date,Likely decreasing
Santa Bárbara d'Oeste,37,10,70,23,46,32,40,New confirmed cases by infection date,Likely decreasing
Águas Lindas de Goiás,37,0,98,18,41,29,37,New confirmed cases by infection date,Unsure
Marília,36,17,60,27,40,30,35,New confirmed cases by infection date,Likely increasing
Paulo Afonso,36,10,67,24,43,32,39,New confirmed cases by infection date,Likely increasing
São José do Belmonte,36,0,299,0,36,1,9,New confirmed cases by infection date,Unsure
Volta Redonda,36,0,85,17,47,27,37,New confirmed cases by infection date,Unsure
Alvorada,35,0,118,7,39,14,25,New confirmed cases by infection date,Unsure
Araçatuba,35,2,67,18,45,21,32,New confirmed cases by infection date,Likely decreasing
Colombo,35,17,54,27,40,29,34,New confirmed cases by infection date,Unsure
Garanhuns,35,15,61,26,39,31,36,New confirmed cases by infection date,Increasing
Ilhéus,35,0,90,11,44,23,35,New confirmed cases by infection date,Unsure
Macapá,35,8,65,23,42,29,36,New confirmed cases by infection date,Unsure
Paracatu,35,0,193,7,39,11,21,New confirmed cases by infection date,Likely increasing
Petrolina,35,2,67,17,43,26,35,New confirmed cases by infection date,Likely decreasing
Presidente Prudente,35,12,58,27,42,31,37,New confirmed cases by infection date,Unsure
Araxá,34,3,101,18,40,21,28,New confirmed cases by infection date,Likely increasing
Caldas Novas,34,9,86,20,39,21,28,New confirmed cases by infection date,Likely increasing
Jaraguá do Sul,34,0,92,12,41,20,30,New confirmed cases by infection date,Unsure
Mococa,34,1,116,8,37,20,30,New confirmed cases by infection date,Increasing
Sertãozinho,34,12,58,25,42,29,35,New confirmed cases by infection date,Unsure
Campo Belo,33,0,193,3,34,6,16,New confirmed cases by infection date,Increasing
Catanduva,33,14,55,26,40,29,34,New confirmed cases by infection date,Likely decreasing
Colinas do Tocantins,33,0,90,17,40,16,24,New confirmed cases by infection date,Unsure
Ji-Paraná,33,11,70,23,40,25,31,New confirmed cases by infection date,Unsure
Leme,33,0,590,0,33,0,5,New confirmed cases by infection date,Unsure
São Bento,33,0,87,18,39,22,29,New confirmed cases by infection date,Unsure
Uruaçu,33,9,67,18,38,19,26,New confirmed cases by infection date,Increasing
Votuporanga,33,2,83,15,40,25,34,New confirmed cases by infection date,Unsure
Araras,32,13,54,24,38,28,32,New confirmed cases by infection date,Unsure
Araucária,32,3,76,14,38,18,27,New confirmed cases by infection date,Unsure
Conceição do Araguaia,32,0,78,16,39,21,29,New confirmed cases by infection date,Likely increasing
Iguatu,32,8,61,21,38,26,32,New confirmed cases by infection date,Unsure
Porto Nacional,32,0,73,16,38,23,31,New confirmed cases by infection date,Unsure
Aracaju,31,17,49,25,36,28,32,New confirmed cases by infection date,Decreasing
Farroupilha,31,0,585,0,31,0,8,New confirmed cases by infection date,Unsure
Itaituba,31,0,191,0,31,3,15,New confirmed cases by infection date,Unsure
Piraquara,31,13,55,20,35,25,30,New confirmed cases by infection date,Likely increasing
Bebedouro,30,0,98,12,35,14,22,New confirmed cases by infection date,Likely increasing
Bragança Paulista,30,8,61,18,34,24,29,New confirmed cases by infection date,Unsure
Itabira,30,9,64,20,36,25,31,New confirmed cases by infection date,Likely increasing
Paranaguá,30,4,62,21,37,24,30,New confirmed cases by infection date,Unsure
Senador Canedo,30,11,54,22,36,27,32,New confirmed cases by infection date,Unsure
Afogados da Ingazeira,29,5,57,18,35,23,29,New confirmed cases by infection date,Increasing
Angra dos Reis,29,0,102,8,33,19,28,New confirmed cases by infection date,Unsure
Eldorado do Sul,29,0,7622,0,29,0,7,New confirmed cases by infection date,Unsure
Catalão,28,6,59,17,32,22,28,New confirmed cases by infection date,Unsure
Estreito,28,0,76,12,35,19,27,New confirmed cases by infection date,Unsure
Guaramirim,28,0,86,7,32,16,25,New confirmed cases by infection date,Unsure
Ipatinga,28,8,54,17,33,19,25,New confirmed cases by infection date,Likely decreasing
Novo Horizonte,28,6,81,14,32,16,22,New confirmed cases by infection date,Increasing
Paraíso do Tocantins,28,1,64,15,34,20,26,New confirmed cases by infection date,Unsure
Pirapozinho,28,0,235,2,29,7,17,New confirmed cases by infection date,Likely increasing
Ribeiro Gonçalves,28,0,81,10,33,14,22,New confirmed cases by infection date,Increasing
Rolândia,28,1,74,11,32,20,27,New confirmed cases by infection date,Unsure
Sumaré,28,0,92,0,28,2,11,New confirmed cases by infection date,Likely decreasing
São Leopoldo,28,11,51,18,32,23,28,New confirmed cases by infection date,Likely decreasing
Alfenas,27,4,60,13,31,17,23,New confirmed cases by infection date,Likely increasing
Amapá,27,0,94,7,32,10,19,New confirmed cases by infection date,Likely increasing
Carazinho,27,10,50,18,31,21,25,New confirmed cases by infection date,Increasing
Congonhas,27,0,144,4,30,6,14,New confirmed cases by infection date,Likely increasing
Ipu,27,5,51,16,32,21,26,New confirmed cases by infection date,Unsure
Pirapora,27,2,61,14,32,17,23,New confirmed cases by infection date,Likely increasing
Salto,27,0,78,8,32,10,19,New confirmed cases by infection date,Unsure
São Vicente,27,13,41,22,31,24,27,New confirmed cases by infection date,Likely decreasing
Ariquemes,26,4,46,16,33,23,29,New confirmed cases by infection date,Likely decreasing
Barretos,26,13,40,21,30,22,25,New confirmed cases by infection date,Likely decreasing
Boa Viagem,26,7,52,16,32,20,26,New confirmed cases by infection date,Likely increasing
Caraguatatuba,26,9,45,18,31,21,25,New confirmed cases by infection date,Unsure
Diadema,26,17,36,22,29,25,27,New confirmed cases by infection date,Decreasing
Floriano,26,5,52,15,30,22,27,New confirmed cases by infection date,Unsure
Gurupi,26,0,65,11,33,17,25,New confirmed cases by infection date,Likely decreasing
Itapira,26,0,63,12,32,15,22,New confirmed cases by infection date,Likely increasing
Monção,26,1,51,14,32,16,23,New confirmed cases by infection date,Increasing
Natal,26,0,91,7,31,8,16,New confirmed cases by infection date,Likely decreasing
Nova Friburgo,26,6,55,16,32,19,24,New confirmed cases by infection date,Unsure
Santa Luzia,26,0,209,0,26,0,6,New confirmed cases by infection date,Unsure
Itanhém,25,0,427474,0,25,0,1,New confirmed cases by infection date,Unsure
Itapetinga,25,6,44,18,30,23,27,New confirmed cases by infection date,Unsure
Itupiranga,25,3,61,12,29,18,24,New confirmed cases by infection date,Increasing
Piripiri,25,13,37,20,29,23,26,New confirmed cases by infection date,Unsure
Poços de Caldas,25,9,51,17,30,20,24,New confirmed cases by infection date,Likely increasing
Praia Grande,25,5,45,19,33,22,27,New confirmed cases by infection date,Likely decreasing
Ubá,25,0,102,6,28,13,20,New confirmed cases by infection date,Unsure
Apodi,24,0,146,0,24,6,14,New confirmed cases by infection date,Unsure
Araruama,24,1,54,12,28,15,20,New confirmed cases by infection date,Unsure
Camaquã,24,5,46,16,29,19,23,New confirmed cases by infection date,Likely increasing
Dois Vizinhos,24,0,60,9,30,10,18,New confirmed cases by infection date,Unsure
Guaíra,24,15,36,20,28,22,25,New confirmed cases by infection date,Increasing
Indiara,24,0,179,0,25,4,11,New confirmed cases by infection date,Increasing
São Carlos,24,10,38,18,27,21,24,New confirmed cases by infection date,Unsure
Taquaritinga,24,2,91,7,26,11,18,New confirmed cases by infection date,Increasing
Timóteo,24,0,98,2,26,9,16,New confirmed cases by infection date,Unsure
Barreirinhas,23,10,41,16,25,18,22,New confirmed cases by infection date,Increasing
Brumado,23,11,40,17,27,18,21,New confirmed cases by infection date,Likely increasing
Frutal,23,1,64,9,26,12,17,New confirmed cases by infection date,Unsure
Icó,23,3,59,14,27,17,21,New confirmed cases by infection date,Likely increasing
Itaporanga,23,7,46,14,26,17,21,New confirmed cases by infection date,Likely increasing
Manhuaçu,23,10,40,17,27,18,22,New confirmed cases by infection date,Likely increasing
Mirassol,23,15,48,18,25,20,22,New confirmed cases by infection date,Likely increasing
Osasco,23,12,38,16,26,18,21,New confirmed cases by infection date,Decreasing
Porto Seguro,23,12,36,17,25,17,20,New confirmed cases by infection date,Likely decreasing
Telêmaco Borba,23,4,43,14,26,19,23,New confirmed cases by infection date,Unsure
Vilhena,23,9,40,17,28,18,22,New confirmed cases by infection date,Likely decreasing
Óbidos,23,0,84,0,23,4,12,New confirmed cases by infection date,Unsure
Ananindeua,22,4,43,14,26,17,21,New confirmed cases by infection date,Unsure
Arapongas,22,0,61,5,25,11,19,New confirmed cases by infection date,Unsure
Cachoeiro de Itapemirim,22,6,43,15,28,16,20,New confirmed cases by infection date,Likely decreasing
Cantagalo,22,3,54,10,26,12,17,New confirmed cases by infection date,Increasing
Humaitá,22,10,40,15,25,17,20,New confirmed cases by infection date,Unsure
Ibirama,22,0,144,3,24,5,11,New confirmed cases by infection date,Likely increasing
Jaguaquara,22,0,47,10,25,18,23,New confirmed cases by infection date,Unsure
Lapa,22,0,91,7,25,12,17,New confirmed cases by infection date,Likely increasing
Luís Eduardo Magalhães,22,6,47,12,26,17,22,New confirmed cases by infection date,Unsure
Morrinhos,22,6,45,12,24,17,21,New confirmed cases by infection date,Unsure
Novo Gama,22,6,42,15,26,17,20,New confirmed cases by infection date,Unsure
Paranaíba,22,8,41,13,24,17,21,New confirmed cases by infection date,Increasing
Petrópolis,22,0,72,8,26,14,19,New confirmed cases by infection date,Unsure
Piquet Carneiro,22,3,43,11,24,18,22,New confirmed cases by infection date,Increasing
Santa Cruz do Sul,22,0,56,12,26,16,21,New confirmed cases by infection date,Likely increasing
Serra Talhada,22,0,56,5,26,9,17,New confirmed cases by infection date,Likely decreasing
São Gotardo,22,0,70,7,25,9,16,New confirmed cases by infection date,Unsure
Tatuí,22,8,43,14,26,16,20,New confirmed cases by infection date,Unsure
Timon,22,0,75,7,29,11,18,New confirmed cases by infection date,Unsure
Venâncio Aires,22,0,80,7,25,11,17,New confirmed cases by infection date,Unsure
Camaçari,21,0,37,13,28,18,23,New confirmed cases by infection date,Likely decreasing
Carapicuíba,21,12,31,16,23,19,22,New confirmed cases by infection date,Decreasing
Lagoa Formosa,21,0,102,3,23,11,18,New confirmed cases by infection date,Increasing
Monte Alto,21,1,90,8,24,12,17,New confirmed cases by infection date,Likely increasing
Parobé,21,0,50,13,25,15,20,New confirmed cases by infection date,Unsure
Pinhais,21,9,35,15,24,20,23,New confirmed cases by infection date,Unsure
Solonópole,21,0,48,13,28,16,21,New confirmed cases by infection date,Increasing
São João da Boa Vista,21,0,54,9,26,15,21,New confirmed cases by infection date,Likely increasing
Alagoa Grande,20,0,57,10,23,13,17,New confirmed cases by infection date,Likely increasing
Bandeirantes,20,8,37,14,24,17,20,New confirmed cases by infection date,Likely increasing
Brejo Grande do Araguaia,20,0,92,0,20,7,13,New confirmed cases by infection date,Likely increasing
Cambará,20,3,45,9,23,13,18,New confirmed cases by infection date,Increasing
Canaã dos Carajás,20,0,60,8,23,12,17,New confirmed cases by infection date,Unsure
Conceição do Coité,20,9,33,15,23,17,20,New confirmed cases by infection date,Likely decreasing
Divinópolis,20,2,59,10,23,13,17,New confirmed cases by infection date,Likely increasing
Extrema,20,4,42,11,22,15,18,New confirmed cases by infection date,Unsure
Fátima,20,1,51,8,24,11,16,New confirmed cases by infection date,Likely increasing
Iracema,20,4,42,13,24,16,20,New confirmed cases by infection date,Increasing
Itaúna,20,8,36,12,22,16,20,New confirmed cases by infection date,Increasing
Jales,20,2,42,11,23,14,18,New confirmed cases by infection date,Unsure
Mogi Guaçu,20,5,39,13,24,17,21,New confirmed cases by infection date,Unsure
Morada Nova,20,0,252,0,20,4,10,New confirmed cases by infection date,Unsure
Nossa Senhora do Socorro,20,1,34,14,24,17,21,New confirmed cases by infection date,Unsure
Pindamonhangaba,20,3,37,12,24,17,22,New confirmed cases by infection date,Unsure
Ribeirão das Neves,20,0,51,6,23,13,19,New confirmed cases by infection date,Unsure
Teutônia,20,3,39,12,23,16,20,New confirmed cases by infection date,Likely increasing
Uruguaiana,20,3,44,11,22,14,17,New confirmed cases by infection date,Likely increasing
Alagoinhas,19,2,36,11,23,14,18,New confirmed cases by infection date,Decreasing
Antônio Prado,19,0,54,0,19,5,12,New confirmed cases by infection date,Unsure
Araripina,19,6,32,15,22,18,21,New confirmed cases by infection date,Unsure
Atibaia,19,7,31,14,21,16,19,New confirmed cases by infection date,Unsure
Balsas,19,0,43,7,26,13,20,New confirmed cases by infection date,Decreasing
Botucatu,19,2,39,12,24,15,20,New confirmed cases by infection date,Unsure
Jaraguá,19,0,74,1,19,6,12,New confirmed cases by infection date,Likely increasing
Lagoa da Canoa,19,0,53,7,23,11,16,New confirmed cases by infection date,Likely increasing
Linhares,19,0,37,9,24,17,23,New confirmed cases by infection date,Decreasing
Maricá,19,0,54,6,23,13,19,New confirmed cases by infection date,Unsure
Suzano,19,0,85,0,19,0,6,New confirmed cases by infection date,Likely decreasing
São José do Rio Pardo,19,3,39,12,22,14,18,New confirmed cases by infection date,Increasing
Taboão da Serra,19,8,31,15,23,15,18,New confirmed cases by infection date,Decreasing
Varre-Sai,19,0,225,0,19,3,8,New confirmed cases by infection date,Likely increasing
Vitória do Jari,19,8,33,13,21,16,19,New confirmed cases by infection date,Unsure
Aparecida do Taboado,18,0,48,0,18,5,12,New confirmed cases by infection date,Unsure
Bento Gonçalves,18,0,36,10,22,15,20,New confirmed cases by infection date,Unsure
Bertolínia,18,0,97,0,18,1,6,New confirmed cases by infection date,Likely increasing
Birigui,18,4,33,11,20,17,20,New confirmed cases by infection date,Unsure
Brasilândia de Minas,18,2,40,6,20,13,17,New confirmed cases by infection date,Increasing
Caicó,18,0,43,9,24,11,16,New confirmed cases by infection date,Unsure
Campina Grande,18,9,29,14,20,16,19,New confirmed cases by infection date,Decreasing
Campo Largo,18,4,29,15,22,18,20,New confirmed cases by infection date,Likely decreasing
Capinópolis,18,0,40,8,23,13,19,New confirmed cases by infection date,Likely increasing
Cláudio,18,0,45,7,22,11,16,New confirmed cases by infection date,Likely increasing
Coroatá,18,0,79,0,18,4,11,New confirmed cases by infection date,Unsure
Fernandópolis,18,7,30,13,22,16,19,New confirmed cases by infection date,Unsure
Ibirité,18,0,51,8,22,10,15,New confirmed cases by infection date,Unsure
Imbituba,18,0,41,9,21,15,19,New confirmed cases by infection date,Unsure
Itaguaí,18,3,35,11,21,12,16,New confirmed cases by infection date,Likely increasing
Machadinho D'Oeste,18,2,38,9,22,11,16,New confirmed cases by infection date,Unsure
Paragominas,18,1,61,5,21,10,15,New confirmed cases by infection date,Unsure
